"Story","Title","Result","Date","Stability","Duration (s)"
"mentor","Get all task","FAILURE","2023-10-26T20:09:50.817+07:00[Asia/Bangkok]","0.0","4.86"
"mentor","Get all task with valid query param","FAILURE","2023-10-26T20:09:55.686+07:00[Asia/Bangkok]","0.0","4.49"
"mentor","Get all task with invalid query param","FAILURE","2023-10-26T20:10:00.179+07:00[Asia/Bangkok]","0.0","2.32"
"mentor","Get task detail with valid id","FAILURE","2023-10-26T20:10:02.5+07:00[Asia/Bangkok]","0.0","2.76"
"mentor","Put update profile mentor without using space on field name","FAILURE","2023-10-26T20:10:17.635+07:00[Asia/Bangkok]","0.0","2.81"
"mentor","Put update profile mentor witohut using uppercase on field name","FAILURE","2023-10-26T20:10:20.445+07:00[Asia/Bangkok]","0.0","2.95"
"mentor","Put update profile mentor without input name,email,password","FAILURE","2023-10-26T20:10:26.518+07:00[Asia/Bangkok]","0.0","3.53"
"mentor","Put update task with valid id and invalid due date","FAILURE","2023-10-26T20:10:40.2+07:00[Asia/Bangkok]","0.0","14.56"
"mentor","Post with valid id and using integer on comment","FAILURE","2023-10-26T20:11:36.988+07:00[Asia/Bangkok]","0.0","2.01"
"mentor","Delete task with valid id","FAILURE","2023-10-26T20:11:50.417+07:00[Asia/Bangkok]","0.0","5.65"
